0,1,2,3,4,5,6
13.7,0,0,2,210,134.892547607,40.875
13.2,0,0,2,220,138.827224731,40.125
13,0,0,2,220,132.502822876,39
12.8,78,0,1,180,149.682998657,39
13.8,522,0,1,200,192.844497681,39.5625
15.9,1029,0,2,240,186.603851318,39.9375
17.6,1223,0,2,270,210.237960815,42.375
19.7,2151,0,3,260,222.575836182,43.875
21.1,2052,0,3,250,228.560714722,45.9375
22.7,2328,0,4,240,232.647796631,47.0625
22.6,2582,0,4,230,234.061950684,47.25
23.9,2134,0,5,220,236.044494629,48.1875
24.2,2108,0,4,220,231.948272705,48.75
23.8,1708,0,4,220,227.982452393,49.125
23.5,1648,0,4,210,248.203552246,49.875
24,1260,0,4,190,249.230819702,50.4375
22.3,1290,0,7,190,234.955322266,50.8125
21.8,586,0,6,200,218.979446411,50.8125
20.8,80,0,5,210,213.410400391,49.875
19.7,1,0,4,200,200.159942627,49.3125
18.1,0,0,3,200,180.099975586,48
17.5,0,0,3,200,165.339050293,46.6875
16.5,0,0,3,210,145.523193359,45
15.3,0,0,2,200,137.539077759,43.6875
14.9,0,0,1,200,120.07081604,42.5625
14.5,0,0,1,180,125.283676147,41.4375
14.6,0,0,1,210,117.643531799,40.3125
14.9,66,0,1,190,149.254821777,40.3125
16.2,355,0,1,200,197.121795654,40.6875
17.3,385,0,1,180,215.027908325,41.4375
18.7,746,0.2,1,230,202,42.9375
20.4,1013,0,3,200,208.952148438,43.6875
22.1,1398,0,3,220,226.417755127,45.5625
22.8,2045,0,4,220,209.876159668,46.6875
25.4,2875,0,5,220,203.541152954,47.0625
26.3,3063,0,6,220,205.650192261,47.8125
25.8,2794,0,7,230,191.637680054,48
25.3,2316,0,7,220,201.556442261,47.8125
22.8,1815,0,7,220,203.30519104,47.8125
21.8,845,0,7,230,194.486495972,47.4375
22.1,769,0,6,230,184.694335938,47.4375
21.1,237,0,6,240,173.277236938,46.125
20.1,143,0,6,250,174.734085083,45.5625
19.6,3,0,5,240,186.603851318,45
19.1,0,0,6,250,161.245147705,44.0625
18,0,0,6,250,134.372619629,42.75
16.3,0,0,7,260,109.036689758,41.25
15.1,0,0,6,270,85.5102310181,39.9375
14.2,0,0,5,270,75,38.8125
13.5,0,0,4,260,69.2603759766,37.875
13.3,0,0,4,250,73.7902450562,37.6875
13.2,58,0,4,260,78,37.125
13.7,383,0,5,260,87.0919036865,37.125
15.4,1085,0,5,270,96.5194244385,37.125
17.6,1498,0,5,270,102.489021301,37.6875
18.9,1887,0,6,270,116.520385742,37.5
20.4,2705,0,6,270,118.270874023,38.625
21.1,2081,0,6,280,130.138381958,39.375
21.9,1982,0,5,290,134.134262085,40.125
22.1,1913,0,5,280,146.12322998,40.6875
24,3041,0,6,270,136.235092163,40.6875
23,2822,0,6,260,136.367156982,41.25
23.9,1534,0,5,270,126.396202087,41.25
23.5,901,0,5,280,131.46862793,41.25
22.7,777,0,5,270,128.875915527,41.4375
21.9,507,0,4,270,127.279220581,41.25
21,95,0,3,260,137.462722778,41.25
20.1,7,0,4,240,145.523193359,40.875
19.1,0,0,3,230,135.484313965,40.6875
18.1,0,0,3,220,135.484313965,40.6875
17.3,0,0,2,200,131.68522644,40.125
17,0,0,2,190,130.418563843,39.1875
17.1,0,0,2,210,137.539077759,39.375
17.1,0,0,2,190,127.81627655,39.375
16.5,0,0,2,200,121.457809448,38.8125
16.7,48,0,2,190,125.283676147,38.8125
16.7,244,0,3,200,130.770797729,38.8125
17,490,0,4,190,140.24621582,38.8125
18.1,1012,0,5,200,135.635543823,38.8125
19.4,1543,0,5,210,165.894546509,39.375
20.2,1576,0,6,210,157.686401367,39.375
19.4,624,0,5,220,150.625366211,38.4375
18.5,627,0,5,230,178.709259033,38.4375
17,566,1,4,230,178.709259033,38.625
18.5,1118,0,3,220,218.506286621,40.875
20.3,1989,0,5,220,218.817276001,42
21,1504,0,5,230,203.931365967,43.125
20.1,493,0,5,240,204.215576172,42.9375
20.1,525,0,5,220,200.412078857,42.9375
19.3,564,0,5,220,176.238479614,42.9375
18.9,177,0,4,220,161.245147705,42.375
18.3,14,0,3,220,168.961532593,42.1875
17.2,0,0,4,230,146.342071533,41.4375
16.2,0,0,4,250,133.221618652,40.5
15.9,0,0,5,270,114.337219238,39.375
15.3,0,0,4,270,109.635757446,38.625
14.8,0,0,4,260,101.921539307,37.6875
14.1,0,0,2,250,100.578330994,37.3125
14,1,0,2,220,98.0815963745,36.375
13.3,95,0,2,220,118.878089905,36.1875
14.6,562,0,1,220,128.390029907,36.5625
16.3,1077,0,2,280,148.33744812,36.9375
18.3,1665,0,2,260,166,38.8125
19.9,1933,0,3,220,164,41.0625
21,2471,0,4,230,202.06187439,42.375
21.9,3019,0,5,240,221.774658203,44.4375
22.8,2362,0,5,240,229.965209961,45.1875
23.5,2318,0,4,240,234.776489258,46.6875
23.8,2726,0,5,240,232.800338745,47.625
24.9,2793,0,5,240,220.054534912,48.375
25.4,2291,0,4,250,235.915237427,48.375
25.1,1743,0,4,270,232.355331421,49.6875
24.4,1177,0,4,270,235.372039795,50.25
23.5,587,0,3,230,207.624664307,50.0625
22.4,104,0,4,210,186.593139648,49.5
20.7,4,0,4,190,198.282623291,48.5625
19.5,0,0,3,210,186.118240356,48.1875
18.3,0,0,2,200,156.204986572,46.125
17.2,0,0,1,180,141.354171753,44.25
16.4,0,0,2,200,127.455871582,42.5625
15.6,0,0,2,210,119.419425964,41.0625
15.1,0,0,1,200,113.176849365,39.9375
14.3,0,0,1,190,105.678756714,38.8125
13.7,129,0,1,190,128.705093384,38.8125
15.2,553,0,0,0,174.771286011,39.5625
18.4,1093,0,1,130,239.365829468,41.625
21.8,1683,0,3,150,249.575637817,45.5625
23.5,2228,0,5,140,256.632019043,48.375
24.9,2719,0,5,150,277.625640869,50.8125
26.5,3078,0,4,160,281.204559326,53.0625
27.6,3283,0,6,160,283.924285889,54
28.5,3291,0,5,140,297.833831787,55.3125
22.1,12,0,6,80,267.478973389,54.5625
21.2,0,0,5,90,228.089889526,52.875
20.8,0,0,6,90,190.874298096,50.0625
20.6,0,0,6,90,143.680206299,48.375
21,0,0,6,90,125.717941284,46.125
20.7,0,0,4,80,111.413642883,44.8125
21.3,0,0,3,80,95.0157852173,44.25
21.2,0,0,2,60,102.215461731,42.9375
20.7,31,0,2,50,151.789321899,42.75
21.7,400,0,3,70,228.475387573,43.6875
23.6,859,0,5,90,291.809875488,47.625
26.3,1464,0,5,90,321.906829834,52.6875
31.9,412,0,4,200,350.035705566,49.125
19.5,0,0,4,240,137.539077759,51.5625
18.2,0,0,4,250,139.946411133,49.5
18,0,0,4,250,140.431472778,48.5625
18.5,94,0,2,200,189.451843262,48.1875
19.1,364,0,3,220,290.688842773,50.4375
19.9,646,0,4,280,297.195220947,51.5625
22.4,1311,0,3,260,340.969207764,56.625
17,0,0,4,300,182.010986328,50.25
16.3,0,0,2,330,152.200531006,47.25
16.1,0,0,1,10,140.11781311,44.8125
15.5,0,0,1,20,132.608444214,43.125
15.3,0,0,1,40,148.556381226,41.625
15.6,103,0,2,40,168.680175781,41.0625
16,510,0,3,50,262.427124023,42.375
17.6,1074,0.2,5,70,283.282531738,44.8125
19.5,1668,0.2,5,60,317.932373047,49.125
21,2058,0.2,5,90,336.756591797,52.6875
22.1,2695,0,6,110,346.317779541,56.8125
19,0,0.2,7,80,216.529449463,51.5625
18.5,0,3.2,5,70,193.380447388,47.625
18.3,0,1,5,80,167.90473938,46.125
18.3,0,0,4,90,168.680175781,45.375
18.6,0,0,3,110,180.579620361,45
17.9,0,0,1,190,186.903717041,45
18.3,78,0,1,150,192.044265747,45
18.9,251,0,2,160,238.472213745,45.9375
19.3,705,0,3,210,209.847564697,46.875
21.3,1225,0,4,230,234.753067017,46.875
22.9,2014,0,5,230,238.296035767,49.3125
24.2,2498,0,7,240,252.16859436,50.8125
24.9,2669,0,7,240,277.416656494,52.125
26.3,3069,0,6,230,277.221923828,53.0625
26.7,3213,0,7,220,288.256835938,54.5625
25.6,2605,0,6,230,268.03918457,55.125
26.2,2921,0,6,230,272.946868896,55.125
26.8,2365,0,6,210,259.262420654,55.125
24.9,1541,0,6,220,261.895019531,55.125
23.5,1031,0,7,210,271.22869873,55.125
21.9,782,0,6,210,257.573303223,54.75
20.5,133,0,5,220,244.558792114,53.625
19.1,4,0,3,210,245.790557861,53.0625
18.5,0,0,2,190,228.475387573,51.75
17.8,0,0,1,190,225.610290527,51
17.2,0,0,1,220,201.645721436,49.3125
16.7,0,0,2,230,173.95401001,47.25
16,0,0,2,190,157.848022461,45.5625
15.7,0,0,2,180,149.693023682,44.0625
15,0,0,1,190,139.086303711,42.75
14.5,56,0,2,200,134.164077759,41.625
16,487,0,2,200,152.315460205,41.625
17.7,831,0,2,220,170.880081177,41.8125
16.5,169,0.4,3,190,193.762741089,42.1875
16.4,164,0.2,3,180,198.080795288,41.0625
15.9,225,0,2,210,218.817276001,41.625
16.9,426,0,2,190,224.899978638,42.375
17.2,1009,0,4,200,224.153961182,43.3125
21.1,2834,0,5,230,228.396591187,45.75
22.8,2798,0,5,230,215.824005127,45.9375
22.7,2130,0.2,6,230,210.297409058,45.75
22.4,2365,0,7,240,228.84928894,45.9375
19.6,651,0,8,260,237.06539917,45.9375
19.9,881,0,6,280,240.251953125,46.3125
19.3,523,0,7,270,231.464904785,46.3125
18.5,115,0,5,240,210.297409058,45.9375
17.9,8,0,5,240,207.634292603,45.375
16.9,0,0,4,240,179.06703186,44.4375
16.2,0,0,3,230,169.047332764,43.3125
15.5,0,0,3,220,142.00352478,42
14.7,0,0,3,220,133.701156616,40.875
14.1,0,0,3,210,135.650283813,40.125
13.5,0,0,2,190,122.102416992,39
12.6,0,0,2,180,126.57408905,38.625
13.8,111,0,2,180,156.869369507,38.4375
14.4,496,0,3,190,212.708724976,39
15.8,905,0,3,210,244.182312012,40.6875
17.9,1406,0,4,230,243.310501099,43.125
18.6,1768,0,5,230,247.256958008,44.8125
20.3,2214,0,6,220,263.058929443,47.0625
21.1,2196,0,5,230,272.389434814,48.1875
21.6,1817,0,5,220,294.726989746,49.6875
22,1618,0,6,220,300.41305542,51.1875
22.6,1621,0,6,210,310.058044434,52.3125
23.6,2267,0,7,210,268.03918457,53.0625
23.1,2209,0,7,190,277.735473633,52.875
22.2,1816,0,6,210,284.288574219,53.0625
21.3,1208,0,6,200,277.965820313,53.25
20.5,402,0,5,190,260.499511719,52.6875
19.5,117,0,5,200,242.538650513,51.5625
18.5,2,0,4,200,267.800292969,51.5625
17.7,0,0,4,190,239.039749146,50.25
17.2,0,0,3,190,214.401489258,48.75
17.1,0,0,3,180,191.206695557,47.0625
16.9,0,0,3,180,178.392822266,45.75
16.4,0,0,1,160,164.560012817,44.25
15.6,0,0,2,160,157.848022461,43.125
15.8,0,0,2,180,163.477828979,42.375
16.1,99,0,3,170,204.599609375,42.375
16.8,177,0,3,180,254.025588989,43.875
17.8,276,0,4,190,278.976715088,46.875
18.6,366,0,4,180,258.495635986,46.6875
18.6,523,0,5,200,253.671051025,46.875
19.8,1219,0,6,210,267.013122559,47.4375
21.6,1890,0,7,220,263.531768799,47.8125
22.8,2237,0,8,230,240.707290649,49.125
23.1,2260,0,9,250,258.804931641,46.875
21.7,2202,0,10,260,268.990692139,48.75
22,2134,0,9,250,277.670654297,49.6875
22.7,2062,0,10,250,305.635406494,50.625
21.8,1690,0,10,260,313.229949951,52.125
20.8,963,0,10,270,295.54864502,52.3125
19.5,727,0,11,270,283.783355713,52.125
18,112,0,9,260,266.360656738,50.4375
16.8,5,0,9,260,263.058929443,49.3125
16.1,0,0,6,250,215.740585327,46.875
15.6,0,0,5,230,218.961181641,45.75
15.2,0,0,5,230,173.95401001,43.5
15.4,0,0,7,240,162.68989563,42.1875
15.1,0,0,6,240,155.347991943,40.875
15,0,0,7,230,141.364776611,39.375
15.1,0,0,6,230,138.63621521,38.625
14.3,17,0,6,240,135.558105469,37.875
14.8,97,0,6,240,208.904281616,37.6875
15.3,318,0,6,240,257.932159424,39.75
16.8,541,0,7,250,292.836120605,42.375
18.2,1086,0,9,270,274.96182251,44.8125
18.8,1221,0,9,270,296.764221191,45.75
19.1,979,0,8,270,296.553527832,47.8125
17.4,754,0.6,7,250,304.586608887,48.9375
18.2,783,0,7,260,324.57510376,50.25
21.1,1257,0,8,270,285.567840576,51
21.5,2225,0,9,270,297.423950195,50.625
19.8,1286,0,11,290,305.334228516,50.25
20.5,1652,0,9,290,294.278778076,50.4375
20.2,939,0,10,300,290.903778076,50.8125
19.4,288,0,9,300,255.632553101,49.875
18.3,111,0,8,310,202.780670166,47.625
17.3,3,0,7,310,201.791976929,46.3125
15.9,0,0,7,300,189.907867432,44.25
15.2,0,0,6,300,166.760299683,42.9375
14,0,0,4,280,122.560188293,40.5
13.8,0,0,5,290,90.049987793,38.625
12.8,0,0,4,290,70.2922439575,37.3125
12.1,0,0,3,260,71.8401031494,36
11.6,0,0,4,270,75.0732955933,35.0625
12.4,96,0,5,290,80.4984436035,34.6875
12.6,409,0,5,310,159.765457153,35.0625
13.5,956,0,6,300,178.538513184,35.4375
14.8,1521,0,5,310,187.48866272,36.375
16.3,2177,0,6,310,209.12197876,37.875
16.9,2686,0,5,320,223.257705688,41.25
18.6,3057,0,4,300,228.396591187,41.8125
19.6,3230,0,4,270,234.335235596,43.6875
20.8,3237,0,3,290,238.027313232,43.6875
21.7,3078,0,4,290,228.396591187,45
22,2771,0,5,290,232.079727173,45.5625
21.9,2350,0,4,300,241.867736816,46.3125
22.2,1820,0,3,270,240.010421753,46.875
21.3,1234,0,4,270,234.360839844,48
21,678,0,4,280,198.285140991,47.25
19.5,92,0,3,280,187.882949829,46.3125
18.5,0,0,3,200,157.175064087,45
17.4,0,0,4,200,158.619033813,43.5
16.9,0,0,3,230,123.369361877,42
15.9,0,0,3,200,137.419067383,41.4375
15.4,0,0,2,200,114.127120972,40.125
14.3,0,0,1,170,105.475112915,38.8125
14.4,0,0,2,210,113.877128601,37.875
13.5,0,0,2,190,127.094451904,37.125
13,77,0,1,170,156.780105591,37.3125
14.7,454,0,1,200,179.72479248,38.0625
16.3,999,0.2,3,190,261.227874756,40.5
19.5,1580,0.2,3,200,265.188598633,44.4375
20.8,2128,0,5,180,281.945037842,47.4375
21.4,2469,0,5,160,291.494415283,50.625
23.4,2952,0,5,170,293.170593262,52.3125
24.8,3210,0,6,150,300.672576904,53.25
25.2,3323,0,7,160,296.708618164,54
26.4,3076,0,7,140,286.803070068,54.9375
26.5,2786,0,6,150,300.41305542,55.6875
25.4,2150,0,7,170,292.745635986,56.0625
19.8,0,0,1,140,185.334838867,50.25
19.1,0,0,1,200,182.428070068,48.75
18.7,0,0,2,270,149.576065063,45.9375
16.8,0,0,1,280,120.813903809,43.875
16.8,0,0,2,260,111.628852844,42.375
16.3,0,0,2,240,110.724884033,41.25
16,44,0,2,250,131.912857056,40.6875
17.5,417,0,3,260,141.760360718,40.6875
18.6,953,0,4,260,147.29901123,40.875
20.2,1461,0,5,270,178.213348389,42.1875
22,2014,0,6,270,217.221084595,44.0625
23.3,2557,0,6,280,204.626495361,45.75
23.9,2257,0,7,270,210.401992798,46.3125
23.2,2790,0,7,250,212.529998779,46.6875
22.8,2550,0,7,240,206.545394897,46.6875
24.8,2601,0,6,250,209.057403564,47.4375
25.5,2782,0,7,260,208.959320068,47.8125
24.9,2140,0,7,250,195.133285522,47.625
23.5,1652,0,8,260,203.088653564,47.625
22.7,1158,0,7,260,208.17300415,47.625
21.1,480,0,7,260,221.531036377,47.4375
20.5,79,0,6,260,219.209945679,47.4375
19.7,0,0,5,270,226.883224487,47.4375
19.5,0,0,3,260,201.318161011,46.6875
18.4,0,0,4,220,212.461761475,46.6875
17.4,0,0,4,230,203.97303772,46.5
16.9,0,0,4,220,175.513534546,44.8125
15.8,0,0.6,4,230,158.596969604,43.3125
15.6,0,0,4,220,160.461837769,42.5625
15.6,0,0,4,220,144.996551514,41.625
15.8,16,0,4,220,146.263458252,40.6875
16,75,0,4,220,161.644668579,40.125
16.2,261,0,4,220,192.924850464,40.125
17.5,769,0,5,220,184.610397339,40.5
19.2,1114,0,6,230,203.735122681,41.25
19.3,647,0,6,230,226.514892578,41.625
19.4,519,0,6,230,212.132034302,42.375
19.1,635,0,6,220,197.131942749,42.375
19.6,869,0,7,230,209.475540161,43.125
20.9,1108,0,7,220,198.708328247,43.125
21.1,925,0,7,220,204.67779541,43.3125
20.9,765,0,7,220,183.847763062,43.125
17.8,189,3.4,4,270,192.35383606,43.3125
17.8,214,0.8,5,230,224.555114746,43.6875
17.5,161,0.2,5,230,231.905151367,43.6875
17.2,58,0,4,210,223.221862793,43.6875
17.2,6,0,4,210,215.195266724,43.5
17.5,0,0,3,210,183.600112915,43.125
17.3,0,0,4,210,185.310546875,43.125
17.3,0,0,3,220,157.178237915,42.1875
16.8,0,0,2,220,150.266433716,41.625
16.9,0,0,3,240,142.393814087,40.875
16.9,0,0,4,250,138.924438477,40.5
17,0,0,3,230,145.120635986,40.125
17.2,11,0,2,220,168.240905762,39.9375
16.9,68,0.2,4,240,200.172424316,39.75
16.8,151,0.2,3,220,224.964447021,40.125
16.9,321,0.4,4,200,201.613494873,40.3125
16.8,328,0.4,3,220,239.534973145,41.4375
17.5,407,0,3,210,252.871505737,43.125
18.5,691,0,4,220,245.448562622,44.0625
18.7,506,0,5,220,243.476898193,44.0625
19.6,987,0,5,220,233.452346802,44.4375
20,952,0,6,230,226.126068115,44.8125
20.7,1068,0,6,220,226.874420166,44.625
20.4,698,0,7,230,244.965301514,45
19.8,619,0,7,220,255.765518188,45.375
19.6,341,0,7,220,230.054336548,45.375
19.5,79,0,5,230,237.899139404,45.375
19.2,50,0,6,250,208.17300415,45
18.5,3,0.2,4,240,197.68661499,44.0625
18.5,0,0,6,250,199.248580933,43.6875
18.4,0,0,6,260,149.883285522,42.9375
18.2,0,0,7,260,97,40.875
17.9,0,0,5,260,60,39.75
17.7,0,0,6,260,60.4648666382,39
17.5,0,0,5,250,62.1288986206,38.25
17.2,0,0,4,250,67.6239624023,37.6875
16.9,15,0,4,240,105.678756714,37.3125
17.2,68,0,4,250,159.364364624,37.6875
17.6,167,0,3,240,208.626464844,39
18.1,283,0,3,240,225.228775024,40.125
18.1,228,0,4,250,238.027313232,41.625
17.8,275,0,4,270,237.899139404,43.125
18.6,718,0,4,270,264.461730957,45
19,513,0,5,260,276.622497559,46.5
19.5,478,0,4,240,260.499511719,47.625
19.7,435,0,4,250,248.620193481,47.8125
20.2,656,0,4,260,264.741394043,48
21.5,959,0,5,250,260.499511719,48.5625
21.7,1047,0,4,250,260.783447266,49.125
21.6,350,0,4,250,255.765518188,49.3125
19.3,147,0,3,240,247.370162964,49.125
18.8,43,0.4,1,210,228.70942688,48.375
18.6,3,0,1,150,203.088653564,47.25
18.1,0,0.2,4,190,235.423019409,47.4375
17.9,0,0,4,200,197.909072876,46.125
17.7,0,0,3,210,182.002746582,45.375
17.7,0,0,3,210,156.169784546,43.875
17.5,0,0,2,220,148.485687256,43.6875
17.7,0,0,2,210,142.393814087,42.9375
17.6,0,0.2,2,210,159.21055603,41.8125
17.5,23,0,2,200,182.726577759,41.0625
17.7,135,0.2,3,220,236.712905884,41.625
18,231,0.2,3,230,270.658447266,44.25
18.5,428,0,3,230,235.951263428,45
19.2,889,0.2,3,250,232.355331421,45.9375
19.2,1280,0,7,290,235.915237427,45.1875
18.9,1189,0,6,310,245.961380005,45.1875
18.1,1265,0,5,320,233.931610107,45.5625
19.3,1637,0,4,310,267.013122559,47.25
21.1,2257,0,3,330,264.741394043,48.75
21.6,1856,0,5,300,268.425048828,49.6875
22.4,1080,0,4,320,255.765518188,49.6875
22,981,0,3,320,252.16859436,50.25
21.6,405,0,3,310,240.276916504,50.25
21.4,123,0,4,310,228.694122314,50.0625
21,46,0,3,320,216.723327637,49.6875
20.2,3,0,3,340,240.63458252,49.6875
19.7,0,0,3,350,249.729858398,48.9375
18.5,0,0,3,360,206.118896484,47.4375
17.4,0,0,3,10,171.45262146,45.5625
16.6,0,0,1,360,141.152404785,43.6875
17.1,0,0,3,360,134.851776123,42.9375
17.7,0,0,2,40,124.482933044,41.25
17.6,0,0,4,80,135.558105469,40.5
17.6,21,0,5,90,168.680175781,40.6875
17.9,177,0,6,100,234.079040527,41.25
18.6,447,0,6,90,196.461196899,41.625
19.6,621,0,6,100,234.335235596,43.125
20.3,1113,0,7,90,238.729980469,44.0625
20.6,1469,0,8,100,248.477355957,46.125
22.6,1330,0,7,100,274.641571045,49.6875
23.1,2643,0,8,80,284.964904785,50.625
23.1,1696,0,7,100,278.337921143,50.8125
23.1,1450,0,7,90,284.163696289,51.1875
21.6,660,0,8,90,286.944244385,51.1875
21,552,0,8,90,282.878051758,51.375
20.3,231,0,7,90,305.006561279,51.5625
19.7,81,0,7,80,296.770965576,51.5625
19.2,0,0,7,80,289.663604736,51.5625
19,0,0,7,70,219.672485352,50.0625
18.7,0,0,5,30,224.116043091,48.75
18.1,0,0,3,40,185.722915649,47.0625
17.7,0,0,4,40,178.675689697,45.75
17.5,0,0,2,70,184.716003418,45
16.1,0,0,1,230,195.818786621,44.4375
15.9,0,0,2,210,183.872238159,44.0625
17.4,29,0,2,200,201.645721436,44.0625
18.6,197,0,3,200,206.651885986,44.25
19,240,0,4,220,260.783447266,45
