Air_temperature,Global_solar_radiation,Precipitation,Wind_speed,Wind_direction,Load_condition,Transformer_temperature
8.6,0.0,0.0,2.0,230.0,266.519805908,37.3125
8.7,0.0,0.0,1.0,170.0,301.962341309,39.0
9.1,27.0,0.0,1.0,220.0,329.609741211,41.25
9.5,96.0,0.0,2.0,210.0,343.702270508,43.5
10.2,155.0,0.0,3.0,220.0,338.881439209,44.8125
10.7,257.0,0.0,3.0,240.0,312.28805542,44.8125
10.8,304.0,0.0,5.0,250.0,322.087921143,44.8125
10.9,263.0,0.0,6.0,250.0,325.022247314,44.8125
10.8,143.0,0.0,5.0,250.0,352.867706299,45.1875
10.4,42.0,0.0,5.0,250.0,404.111694336,48.75
10.3,3.0,0.0,5.0,250.0,422.82208252,52.125
10.5,0.0,0.0,7.0,260.0,423.327606201,54.1875
10.6,0.0,0.0,5.0,260.0,381.125488281,54.1875
10.0,0.0,0.0,3.0,260.0,336.52230835,52.5
9.2,0.0,0.0,4.0,250.0,336.126831055,51.5625
8.7,0.0,0.0,2.0,230.0,321.976928711,49.5
8.1,0.0,0.0,3.0,220.0,316.133880615,48.0
7.7,0.0,0.0,3.0,220.0,298.938232422,46.5
8.1,0.0,0.0,2.0,240.0,271.020202637,44.4375
7.7,0.0,0.0,2.0,210.0,238.907836914,42.0
7.2,0.0,0.0,3.0,250.0,225.890594482,40.5
7.3,0.0,0.0,3.0,270.0,205.0,37.875
7.1,0.0,0.0,4.0,260.0,197.365463257,36.75
7.0,0.0,0.0,2.0,240.0,203.780670166,36.375
7.3,0.0,0.0,3.0,220.0,221.61340332,35.625
7.3,0.0,0.0,2.0,230.0,245.286819458,36.0
7.6,35.0,0.0,2.0,210.0,255.074279785,36.5625
7.9,87.0,0.0,1.0,190.0,272.603179932,37.5
8.1,132.0,0.2,3.0,200.0,409.880401611,44.25
7.6,269.0,0.0,3.0,200.0,435.363098145,49.875
7.6,183.0,0.0,2.0,200.0,426.799499512,52.6875
7.6,165.0,0.0,3.0,190.0,431.23550415,54.5625
7.4,108.0,0.0,3.0,190.0,446.907775879,56.625
7.7,0.0,0.0,2.0,230.0,305.090270996,48.75
7.5,0.0,0.0,4.0,250.0,292.343048096,46.6875
7.1,0.0,0.0,3.0,230.0,336.340606689,45.9375
